battery_id,cycle_number,capacity_Ah,avg_voltage,avg_current,avg_temperature,charge_time,discharge_time,energy_charged_Wh,SOH,RUL,max_voltage,min_voltage,voltage_range,max_temperature,temperature_rise,discharge_duration,energy_discharged,internal_resistance_proxy,capacity_fade_rate,cycle_efficiency,capacity_lag_1,capacity_lag_3,capacity_lag_5
B0005,1,1.8622028761760747,3.5298286688693397,1.818711710270297,32.572328114029,7597.875,3690.234,3.276267765085886,93.11014380880374,124,4.191491807505295,2.612467347907089,1.5790244595982057,38.98218133148803,14.652147445917485,3690.234,6.6087781949284645,0.21694802986011458,-0.004175134390799018,2.0171666874594476,1.8622028761760747,1.8622028761760747,1.8622028761760747
B0005,2,1.852077780517496,3.5373201277859714,1.8176438989718113,32.72523522519307,10516.0,3672.344,7.638814040426327,92.60388902587479,123,4.189773213846608,2.587208728940726,1.6025644849058818,39.033397966787035,14.33564603105771,3672.344,6.586345150397566,0.9901313898849028,-0.004175134390799018,0.8622209043892339,1.8622028761760747,1.8622028761760747,1.8622028761760747
B0005,3,1.8410487396827961,3.5437367282719,1.8165423469233573,32.64286193755933,10484.547,3651.641,7.60857677771719,92.0524369841398,122,4.188186735991303,2.6519168938437794,1.536269842147524,38.818796689817404,14.084530525863002,3651.641,6.555683334957384,26.27488352700343,-0.004175134390799018,0.8616175569334653,1.852077780517496,1.8622028761760747,1.8622028761760747
B0005,4,1.8409120078311922,3.5436661072601456,1.8256179748849433,32.51487646204882,10397.89,3631.563,7.578063286209706,92.04560039155962,121,4.188461118855572,2.592947964776547,1.5955131540790246,38.7623045063458,14.108068037117349,3631.563,6.5548286069376,0.23561577247382257,-0.004175134390799018,0.8649741179736316,1.8410487396827961,1.8622028761760747,1.8622028761760747
B0005,5,1.8403599290669193,3.5423432526672167,1.8261478651693803,32.38234901543077,10495.203,3629.172,7.565826375757998,92.01799645334596,120,4.188298524761055,2.547419651124539,1.6408788736365159,38.66539257343368,14.140595614085552,3629.172,6.552231972609875,0.09437755914418917,-0.004175134390799018,0.8660299149348938,1.8409120078311922,1.852077780517496,1.8622028761760747
B0005,6,1.8413272042220796,3.5413347346347575,1.8168998532879652,32.43418218230641,10792.672,3652.281,7.5675031826523504,92.06636021110398,119,4.188815807948604,2.5209480504077413,1.6678677575408627,38.75169504640032,14.229397669472458,3652.281,6.557494548054203,0.21213032462615963,-0.004175134390799018,0.8665334377508451,1.8403599290669193,1.8410487396827961,1.8622028761760747
B0005,7,1.840831297831913,3.5410250495075215,1.8168378953364732,32.480416444757985,10789.985,3650.828,7.560366011430647,92.04156489159566,118,4.18839163793879,2.487927319492314,1.700464318446476,38.8207012322275,14.235822946429689,3650.828,6.557049661436373,0.27061207255746145,-0.002249296537116585,0.8672926220136244,1.8413272042220796,1.8409120078311922,1.852077780517496
B0005,8,1.8314394902034128,3.554133296801584,1.8444082717328028,32.41046186109587,10127.562,3572.453,7.561766030989396,91.57197451017063,117,4.188927891511958,2.6652049047458775,1.5237229867660806,38.51713023385634,13.80350143457655,3572.453,6.535167110927523,0.2596590476500318,-0.0019218498958766706,0.864238206279499,1.840831297831913,1.8403599290669193,1.8410487396827961
B0005,9,1.83047598595165,3.5529355991467955,1.854064004450843,32.3461408313,10147.952999999994,3550.594,7.51698463400825,91.5237992975825,116,4.189029250882121,2.6038584726333673,1.5851707782487536,38.526267904657,13.891056271332303,3550.594,6.5291073135895505,0.20811046402038727,-0.002087204375908458,0.8685806385782197,1.8314394902034128,1.8413272042220796,1.8409120078311922
B0005,10,1.8302731671688202,3.5512057319376997,1.853658588102974,32.27679750791685,10162.094,3551.25,7.519298894187395,91.513658358441,115,4.189223427076418,2.552853984885676,1.636369442190742,38.52698128472781,13.954923620632258,3551.25,6.526577749922872,0.2193306320108153,-0.002017352379619819,0.8679769007411154,1.83047598595165,1.840831297831913,1.8403599290669193
