battery_id,cycle_number,capacity_Ah,SOH,RUL,avg_voltage,avg_current,avg_temperature,charge_time,discharge_time
B0018,1,1.8683727988907475,93.41863994453738,99,3.5275462263272543,1.9542109199809996,31.773285281389256,8122.844,3434.891
B0018,2,1.8566425711941408,92.83212855970704,98,3.534835576186522,1.9474911909917818,31.924891594728642,10804.766,3425.485
B0018,3,1.8531673472578591,92.65836736289296,97,3.538246596159443,1.9520851377838422,31.31691283374216,10806.391000000003,3410.375
B0018,4,1.844376925762404,92.2188462881202,96,3.537697945111872,1.946124428336899,30.821190751176527,10805.953,3404.719
B0018,5,1.8465123553380363,92.32561776690181,95,3.542667604586918,1.941296553298507,31.95346971511436,10806.594,3417.641
B0018,6,1.8424204720530513,92.12102360265256,94,3.5451037330477333,1.940081322071115,32.02311236185272,10804.844,3411.766
B0018,7,1.8295853175815435,91.47926587907718,93,3.5475142438631493,1.9336087087327076,31.634533158077694,10806.235,3399.516
B0018,8,1.8236384283336813,91.18192141668406,92,3.544812433691423,1.933297862328721,31.288194921595714,10807.531,3388.75
B0018,9,1.8183564280802216,90.91782140401108,91,3.5434780274164095,1.9326277820604822,31.11122470608501,10807.063,3380.406
B0018,10,1.8372517178195047,91.86258589097524,90,3.543133206790044,1.9387908075093485,31.13166983979621,10805.891,3404.141
B0018,11,1.8263312789243658,91.31656394621828,89,3.545155146280937,1.9319664603010853,31.51305775907457,10806.031,3396.141
B0018,12,1.813357299319065,90.66786496595324,88,3.545032366549762,1.925061300186587,31.31102568785445,10642.983999999997,3384.094
B0018,13,1.7994883639256565,89.97441819628283,87,3.5440892170496827,1.9180531611923362,30.893964711700164,10771.188,3370.656
B0018,14,1.792170110844733,89.60850554223666,86,3.541317108618481,1.9174273940216064,30.540598970902945,10794.406,3357.797
B0018,15,1.7954094465899864,89.77047232949931,85,3.541197979542517,1.918118110064441,30.82566018736547,10808.672,3363.015
B0018,16,1.7857822608417238,89.28911304208619,84,3.541255460524434,1.910662175289524,31.451400678644536,10788.828,3357.734
B0018,17,1.7775124519859842,88.8756225992992,83,3.5427478949705886,1.909473949995673,31.518847747922937,10689.594,3344.187
B0018,18,1.7625266947676845,88.12633473838423,82,3.541251093602656,1.8961919320059226,31.11237289077096,10670.672000000006,3339.969
B0018,19,1.7551646798864668,87.75823399432335,81,3.5350260562177453,1.8949909147363193,30.586452588663985,10656.266,3327.641
B0018,20,1.7525432533200365,87.62716266600182,80,3.5326627624319777,1.900306537433319,30.242913021104116,10808.235,3312.844
B0018,21,1.7405416069184154,87.02708034592077,79,3.5333109441755526,1.8937532529571761,30.10270376338569,10806.719,3302.031
B0018,22,1.7235903149802392,86.17951574901195,78,3.52738705832889,1.874059169656162,30.251184852221932,9702.0,3305.547
B0018,23,1.7205153450111674,86.02576725055837,77,3.5296025965720452,1.8792679725699228,30.212407704391104,10806.313,3289.562
B0018,24,1.716630045199375,85.83150225996874,76,3.5289707694229833,1.8781179185820256,30.125011009636175,10767.172000000006,3283.797
B0018,25,1.7583644514883705,87.91822257441852,75,3.5322741848919814,1.8994255210827664,30.22428629982563,10806.14,3325.235
B0018,26,1.747983482535042,87.3991741267521,74,3.532438322521663,1.8927442392596563,30.976376254737342,10645.781,3317.547
B0018,27,1.7314425779203193,86.57212889601597,73,3.5363211310943603,1.8784657143180254,31.41570291330098,10554.906,3311.766
B0018,28,1.7211159709221293,86.05579854610646,72,3.533535274219931,1.8709273444688055,31.383299841535273,10479.375,3305.218
B0018,29,1.7147150777698812,85.73575388849406,71,3.527012841842043,1.869833775048847,31.167937826253635,10522.063,3295.453
B0018,30,1.7033775125258277,85.16887562629138,70,3.52925730014011,1.8624408195732676,30.994690437264207,10764.344,3287.0
B0018,31,1.6913383238843307,84.56691619421653,69,3.527821497534469,1.854867790404577,31.055317978554886,10556.078,3276.922
B0018,32,1.6864202936599857,84.32101468299929,68,3.525692957415014,1.8539547618996213,31.373945543706103,10546.687,3268.687
B0018,33,1.6749815333000746,83.74907666500373,67,3.5243962482347273,1.8458129961867051,31.56128410753226,10477.203,3260.594
B0018,34,1.6667274825937854,83.33637412968928,66,3.520797576383474,1.8383647798398939,31.318474723902874,10498.592999999993,3258.812
B0018,35,1.6641067984902282,83.2053399245114,65,3.519457281260753,1.8436169601332795,31.104012325043946,10717.0,3243.422
B0018,36,1.655143329076084,82.7571664538042,64,3.513165600287965,1.8371621051457112,30.989730398009076,10584.766,3236.515
B0018,37,1.6373320351480478,81.86660175740239,63,3.517217159454334,1.8212842869006978,30.967851972472324,10525.641,3230.734
B0018,38,1.6381990290905935,81.90995145452968,62,3.5120091114107965,1.8271648718054267,31.285342046153826,10644.125,3222.093
B0018,39,1.6300505728617423,81.50252864308712,61,3.50911052654104,1.8191728083237904,31.41096207271253,10452.516,3220.344
B0018,40,1.69212165192729,84.6060825963645,60,3.516106699716392,1.8694837461066787,30.755137125871208,10810.453,3250.75
B0018,41,1.659031584826147,82.95157924130734,59,3.519010068254593,1.8398837087631794,30.977446633931525,10481.562,3239.344
B0018,42,1.6485721565398777,82.42860782699388,58,3.5124212742229295,1.8381164059202344,30.800512192698992,10423.218999999997,3222.25
